molecule_chembl_id,canonical_smiles,standard_value
CHEMBL85857,C/C=C1\C(=O)O[C@@H]2O[C@@]3(C)CCC4[C@H](C)CC[C@@H]1[C@]42OO3,0.0021
CHEMBL310196,CO[C@H]1O[C@]2(C)CC[C@H]3CCC[C@@H](CCOC(=O)c4ccc(C(=O)O)cc4)[C@@]13OO2,0.0157
CHEMBL314692,C=C1C2CC[C@@H](C)C3CC[C@@]4(C)OO[C@@]23[C@H](O[C@@H]1OO)O4,0.00408
CHEMBL85012,C[C@@H]1CCC2[C@H](O)[C@H](O)O[C@@H]3O[C@@]4(C)CCC1[C@@]23OO4,0.0073
CHEMBL326696,C[n+]1c2ccc(Br)cc2cc2[nH]c3ccc(Br)cc3c21.[I-],49.0
CHEMBL224248,c1ccc2nc3c(cc2c1)[nH]c1ccccc13,100000.0
CHEMBL276845,C[C@@H]1CC[C@H]2[C@@H](C)C(CC(CO)CC3OC4O[C@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)C46OO5)OC3O[C@]4(C)CCC1C32OO4,0.87
CHEMBL79456,CCOP(=O)(OCC)OCC[C@@H]1CCC[C@@H]2CC[C@]3(C)OO[C@@]12[C@@H](OC)O3,0.0009
CHEMBL111650,C[n+]1c2ccccc2cc2[n-]c3c([N+](=O)[O-])cccc3c21,6920.0
CHEMBL2371007,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)NO)NC(=O)[C@H]2CCCCN2C1=O,0.00024
CHEMBL312782,CO[C@H]1O[C@]2(C)CC[C@H]3CCC[C@@H](CCOS(=O)(=O)c4ccc(C)cc4)[C@@]13OO2,0.0019
CHEMBL108626,NC(=O)c1c2nc3ccccc3c-2[nH]c2ccccc12,100000.0
CHEMBL10112,C=C(CC1OC2O[C@]3(C)CCC4[C@H](C)CC[C@@H]([C@H]1C)C24OO3)CC1OC2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)C24OO3,24.0
CHEMBL312603,COC(=O)c1ccc(C(=O)OCC[C@@H]2CCC[C@@H]3CC[C@]4(C)OO[C@@]23[C@@H](OC)O4)cc1,0.0012
